province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
Dagupan,I,2020,0,0,0,33,285,0,0,0.0,5000000.0,0.0,0.0,0.0,5000000.0
Ilocos Norte,I,2020,0,0,0,2061,8237,0,11,12055409.16,351800000.0,0.0,0.0,0.0,363855409.16
Pangasinan,I,2020,0,0,1,20554,101613,118,2816,480009180.87,796010000.0,0.0,0.0,0.0,1276019180.87
Ilocos Sur,I,2020,0,0,0,0,0,0,0,3019000.0,0.0,0.0,0.0,0.0,3019000.0
La Union,I,2020,0,0,0,21,61,1,10,13105898.0,0.0,0.0,0.0,0.0,13105898.0
IIII,I,2020,0,0,0,0,0,0,0,228671.5,0.0,0.0,0.0,0.0,228671.5
Bataan,I,2020,0,0,0,0,0,0,0,1780.0,0.0,0.0,0.0,0.0,1780.0
Nueva Ecija,I,2020,0,0,0,0,0,0,0,180000.0,0.0,0.0,0.0,0.0,180000.0
Pampanga,I,2020,0,0,0,0,0,0,0,46891.5,0.0,0.0,0.0,0.0,46891.5
without breakdown,I,2020,0,0,0,0,0,0,0,0.0,7500000.0,0.0,0.0,0.0,7500000.0
Cagayan,II,2020,2,0,1,24197,92686,4,3,663157918.94,872805000.0,0.0,0.0,0.0,1535962918.94
Nueva Vizcaya,II,2020,0,0,0,180,685,0,4,105882705.13,59800000.0,0.0,0.0,0.0,165682705.13
Quirino,II,2020,0,0,0,133,449,0,0,41694934.2,206910000.0,0.0,0.0,0.0,248604934.2
Isabela,II,2020,0,0,0,7412,28666,0,0,735646832.3199999,224800000.0,0.0,0.0,0.0,960446832.32
Batanes,II,2020,0,0,0,0,0,0,0,755000.0,0.0,0.0,0.0,0.0,755000.0
without breakdown,II,2020,0,0,0,0,0,0,0,0.0,37000000.0,0.0,0.0,0.0,37000000.0
Aurora,III,2020,0,2,0,5233,18338,0,0,75090812.8,8000000.0,0.0,0.0,0.0,83090812.8
Bulacan,III,2020,0,0,0,50453,221870,4,2,83918389.35,0.0,0.0,0.0,0.0,83918389.35
Nueva Ecija,III,2020,0,0,0,13015,56873,0,0,85382503.08,0.0,0.0,0.0,0.0,85382503.08
Pampanga,III,2020,0,0,0,88373,397889,0,0,203359291.04,0.0,0.0,0.0,0.0,203359291.04
Bataan,III,2020,0,0,0,2945,11549,0,0,63159303.0,0.0,0.0,0.0,0.0,63159303.0
Tarlac,III,2020,0,0,0,2951,14064,0,0,22165659.0,0.0,0.0,0.0,0.0,22165659.0
Zambales,III,2020,0,0,0,691,2520,0,0,6614995.61,0.0,0.0,0.0,0.0,6614995.61
without breakdown,III,2020,0,0,0,0,0,0,0,0.0,114500000.0,0.0,0.0,0.0,114500000.0
